"분류번호","측정소명","년/월/일","회차","경도","위도","채수시각","DO(㎎/L)","BOD(㎎/L)","COD(㎎/L)","TN(㎎/L)","TP(㎎/L)","TOC(㎎/L)","SS(㎎/L)"
"3011A05","미호강1","2022/01/06","1회차","127°30'1.94""","36°58'50.02""","10:11","12.7","2.8","5.6","8.410","0.186","3.5","4.8"
"3011A20","미호강3","2022/01/06","1회차","127°30'12.6""","36°50'44.1""","10:41","13.9","1.4","5.2","6.653","0.143","2.9","5.9"
"3011A32","미호강4","2022/01/06","1회차","127°29'36""","36°49'33.4""","10:59","13.8","1.3","4.8","6.137","0.125","2.8","3.6"
"3011A50","미호강6","2022/01/06","1회차","127°28'32.3""","36°42'50.4""","12:43","14.4","1.0","4.5","5.059","0.066","2.3","2.8"
"3011A70","미호강7","2022/01/06","1회차","127°22'58.9""","36°39'30.1""","13:11","13.9","1.5","5.1","6.104","0.058","3.0","3.3"
"3011A82","미호강8","2022/01/06","1회차","127°21'2.58""","36°37'22.73""","13:28","13.0","1.2","7.4","6.244","0.058","4.8","3.4"
"3013A40","방축천","2022/01/06","1회차","127°3'12.67""","36°10'22.65""","13:00","13.2","3.4","3.8","7.486","0.333","2.0","3.0"
"3011A25","백곡천1","2022/01/06","1회차","127°22'47.6""","36°52'52.4""","14:37","14.3","0.5","2.8","2.533","0.011","1.2","0.2"
"3011A30","백곡천2","2022/01/06","1회차","127°27'41.39""","36°51'16.3""","15:05","12.6","1.1","2.8","2.283","0.017","1.9","11.6"
"3301A30","삼천1","2022/01/06","1회차","127°7'4.92""","35°46'21.37""","14:20","13.0","0.4","3.5","3.404","0.024","1.2","1.4"
"3301A35","삼천2","2022/01/06","1회차","127°6'43.22""","35°48'49""","13:50","13.6","0.8","2.7","3.825","0.068","1.9","2.5"
"3301A37","삼천3","2022/01/06","1회차","127°6'21.83""","35°50'8.93""","12:20","13.1","0.9","3.5","3.191","0.045","1.9","2.2"
"3012A75","석성천2","2022/01/06","1회차","127°1'52.89""","36°14'6.46""","13:50","13.8","2.5","2.6","5.142","0.146","1.3","0.8"
"3013A60","수철천","2022/01/06","1회차","127°5'37.8""","36°6'3.72""","11:50","14.0","2.2","2.2","5.558","0.163","1.1","0.4"
"3002A50","용포","2022/01/06","1회차","127°37'.9""","35°59'26.4""","13:50","13.4","0.5","2.7","1.225","정량한계미만","1.9","0.7"
"3301A25","전주천1","2022/01/06","1회차","127°10'13.75""","35°48'7.28""","10:10","13.7","0.3","1.1","2.713","0.012","0.7","0.5"
